open_time,open,high,low,close
1771607700000,67067.04000000,67255.23000000,67067.03000000,67131.22000000
1771608000000,67131.21000000,67166.82000000,67020.05000000,67096.54000000
1771608300000,67096.54000000,67171.59000000,67005.53000000,67031.71000000
1771608600000,67031.71000000,67194.85000000,66995.95000000,67029.70000000
1771608900000,67029.71000000,67312.33000000,66952.11000000,67303.19000000
1771609200000,67303.19000000,67311.01000000,67202.00000000,67238.00000000
1771609500000,67238.00000000,67524.08000000,66971.21000000,67520.43000000
1771609800000,67520.44000000,67680.79000000,67441.72000000,67587.50000000
1771610100000,67587.50000000,67643.05000000,67466.12000000,67613.37000000
1771610400000,67613.38000000,67704.40000000,67484.13000000,67653.08000000
1771610700000,67653.09000000,67784.46000000,67584.90000000,67590.85000000
1771611000000,67590.85000000,67598.00000000,67514.83000000,67574.97000000
1771611300000,67574.97000000,67612.40000000,67504.53000000,67556.49000000
1771611600000,67556.49000000,67667.88000000,67466.11000000,67583.78000000
1771611900000,67583.78000000,67687.20000000,67471.40000000,67664.75000000
1771612200000,67664.56000000,68000.00000000,67544.62000000,67874.01000000
1771612500000,67874.01000000,67874.01000000,67527.01000000,67704.00000000
1771612800000,67704.00000000,67894.98000000,67691.01000000,67791.66000000
1771613100000,67791.67000000,67932.21000000,67758.28000000,67782.39000000
1771613400000,67782.40000000,67888.40000000,67683.73000000,67829.18000000
1771613700000,67828.31000000,67977.28000000,67811.26000000,67924.21000000
1771614000000,67924.22000000,68000.00000000,67699.11000000,67707.99000000
1771614300000,67707.99000000,67840.29000000,67691.51000000,67790.82000000
1771614600000,67790.81000000,67818.31000000,67672.32000000,67709.07000000
1771614900000,67709.08000000,67763.74000000,67690.08000000,67724.75000000
1771615200000,67724.75000000,67796.40000000,67669.23000000,67729.09000000
1771615500000,67729.09000000,67736.22000000,67557.52000000,67625.23000000
1771615800000,67625.23000000,67800.52000000,67625.22000000,67782.69000000
1771616100000,67782.68000000,67836.60000000,67762.85000000,67762.85000000
1771616400000,67762.85000000,67771.75000000,67548.85000000,67610.60000000
