open_time,open,high,low,close
1771855860000,1923.39000000,1925.17000000,1923.39000000,1924.31000000
1771855920000,1924.30000000,1924.30000000,1922.36000000,1924.02000000
1771855980000,1924.02000000,1924.63000000,1923.54000000,1924.21000000
1771856040000,1924.21000000,1925.48000000,1923.81000000,1925.47000000
1771856100000,1925.47000000,1925.48000000,1923.97000000,1924.90000000
1771856160000,1924.89000000,1924.89000000,1922.40000000,1922.40000000
1771856220000,1922.40000000,1922.78000000,1920.99000000,1921.74000000
1771856280000,1921.73000000,1921.73000000,1919.90000000,1919.91000000
1771856340000,1919.90000000,1921.11000000,1917.51000000,1918.31000000
1771856400000,1918.30000000,1918.30000000,1916.67000000,1917.37000000
1771856460000,1917.38000000,1917.86000000,1916.94000000,1917.86000000
1771856520000,1917.86000000,1917.86000000,1915.73000000,1916.63000000
1771856580000,1916.63000000,1916.63000000,1914.37000000,1914.85000000
1771856640000,1914.84000000,1915.80000000,1914.84000000,1915.73000000
1771856700000,1915.73000000,1916.33000000,1915.09000000,1915.82000000
1771856760000,1915.81000000,1916.93000000,1915.81000000,1916.85000000
1771856820000,1916.85000000,1916.85000000,1915.57000000,1915.67000000
1771856880000,1915.68000000,1916.66000000,1915.68000000,1916.56000000
1771856940000,1916.56000000,1916.93000000,1916.44000000,1916.86000000
1771857000000,1916.86000000,1919.74000000,1915.75000000,1916.47000000
1771857060000,1916.47000000,1919.99000000,1915.16000000,1915.24000000
1771857120000,1915.24000000,1920.48000000,1915.24000000,1916.41000000
1771857180000,1916.46000000,1919.10000000,1915.16000000,1918.47000000
1771857240000,1918.46000000,1918.46000000,1911.66000000,1912.28000000
1771857300000,1912.27000000,1919.42000000,1911.43000000,1915.48000000
1771857360000,1915.47000000,1915.59000000,1907.92000000,1907.93000000
1771857420000,1907.93000000,1910.77000000,1904.39000000,1909.95000000
1771857480000,1909.94000000,1910.95000000,1908.50000000,1910.64000000
1771857540000,1910.64000000,1911.52000000,1906.91000000,1907.74000000
1771857600000,1907.73000000,1907.73000000,1902.73000000,1902.83000000
1771857660000,1902.83000000,1902.83000000,1897.01000000,1897.01000000
1771857720000,1897.00000000,1901.54000000,1895.00000000,1901.24000000
1771857780000,1901.24000000,1903.91000000,1897.77000000,1903.91000000
1771857840000,1903.90000000,1907.11000000,1903.00000000,1904.58000000
1771857900000,1904.58000000,1910.61000000,1903.89000000,1907.14000000
1771857960000,1907.13000000,1907.45000000,1904.54000000,1907.29000000
1771858020000,1907.30000000,1910.22000000,1904.82000000,1908.85000000
1771858080000,1908.85000000,1908.90000000,1903.73000000,1903.83000000
1771858140000,1903.83000000,1904.17000000,1895.90000000,1896.19000000
1771858200000,1896.19000000,1912.21000000,1895.94000000,1911.21000000
1771858260000,1911.22000000,1914.42000000,1910.48000000,1911.57000000
1771858320000,1911.58000000,1913.44000000,1909.08000000,1910.78000000
1771858380000,1910.79000000,1911.24000000,1908.37000000,1908.72000000
1771858440000,1908.72000000,1908.72000000,1905.86000000,1907.63000000
1771858500000,1907.63000000,1910.82000000,1907.45000000,1909.07000000
1771858560000,1909.06000000,1910.35000000,1907.17000000,1908.20000000
1771858620000,1908.20000000,1909.70000000,1907.28000000,1908.42000000
1771858680000,1908.41000000,1908.41000000,1904.48000000,1904.89000000
1771858740000,1905.12000000,1907.15000000,1905.12000000,1906.92000000
1771858800000,1906.92000000,1909.11000000,1906.22000000,1908.22000000
1771858860000,1908.22000000,1911.70000000,1907.72000000,1907.72000000
1771858920000,1907.73000000,1909.59000000,1904.53000000,1904.53000000
1771858980000,1904.53000000,1905.61000000,1901.57000000,1901.57000000
1771859040000,1901.57000000,1902.47000000,1898.88000000,1900.82000000
1771859100000,1900.82000000,1901.01000000,1898.85000000,1900.70000000
1771859160000,1900.70000000,1905.49000000,1900.70000000,1904.66000000
1771859220000,1904.66000000,1905.23000000,1902.65000000,1905.23000000
1771859280000,1905.22000000,1905.22000000,1900.55000000,1902.28000000
1771859340000,1902.27000000,1903.47000000,1900.46000000,1903.46000000
1771859400000,1903.47000000,1906.95000000,1902.57000000,1906.74000000
1771859460000,1906.74000000,1908.33000000,1905.96000000,1907.53000000
1771859520000,1907.52000000,1907.52000000,1901.72000000,1902.16000000
1771859580000,1902.17000000,1903.81000000,1902.11000000,1903.80000000
1771859640000,1903.81000000,1906.01000000,1903.81000000,1904.19000000
1771859700000,1904.19000000,1905.95000000,1904.19000000,1905.95000000
1771859760000,1905.95000000,1906.57000000,1904.21000000,1904.48000000
1771859820000,1904.49000000,1911.24000000,1904.49000000,1910.38000000
1771859880000,1910.38000000,1913.23000000,1910.00000000,1912.78000000
1771859940000,1912.78000000,1912.78000000,1907.14000000,1907.27000000
1771860000000,1907.27000000,1908.49000000,1905.84000000,1908.02000000
1771860060000,1908.02000000,1909.19000000,1906.43000000,1906.62000000
1771860120000,1906.63000000,1906.63000000,1902.70000000,1903.50000000
1771860180000,1903.48000000,1906.75000000,1903.30000000,1905.64000000
1771860240000,1905.64000000,1908.23000000,1905.00000000,1905.49000000
1771860300000,1905.49000000,1905.87000000,1902.69000000,1903.86000000
1771860360000,1903.87000000,1904.33000000,1902.64000000,1904.28000000
1771860420000,1904.27000000,1906.64000000,1904.18000000,1904.39000000
1771860480000,1904.39000000,1905.00000000,1902.79000000,1903.13000000
1771860540000,1903.13000000,1904.89000000,1902.98000000,1904.37000000
1771860600000,1904.38000000,1904.89000000,1903.05000000,1903.06000000
1771860660000,1903.06000000,1903.94000000,1902.17000000,1902.98000000
1771860720000,1902.97000000,1905.04000000,1902.40000000,1905.04000000
1771860780000,1905.03000000,1909.46000000,1905.03000000,1905.88000000
1771860840000,1905.88000000,1906.39000000,1904.90000000,1905.17000000
1771860900000,1905.18000000,1906.56000000,1904.69000000,1904.69000000
1771860960000,1904.69000000,1906.99000000,1903.37000000,1906.99000000
1771861020000,1906.99000000,1908.59000000,1906.40000000,1907.60000000
1771861080000,1907.60000000,1908.75000000,1906.12000000,1906.47000000
1771861140000,1906.47000000,1908.11000000,1905.78000000,1905.79000000
1771861200000,1905.78000000,1905.78000000,1901.61000000,1904.22000000
1771861260000,1904.21000000,1906.95000000,1904.17000000,1905.73000000
1771861320000,1905.72000000,1905.72000000,1904.41000000,1905.19000000
1771861380000,1905.20000000,1906.60000000,1905.17000000,1906.16000000
1771861440000,1906.16000000,1906.66000000,1904.50000000,1904.97000000
1771861500000,1904.96000000,1907.08000000,1904.12000000,1906.61000000
1771861560000,1906.60000000,1906.60000000,1903.32000000,1903.68000000
1771861620000,1903.69000000,1904.96000000,1903.08000000,1904.60000000
1771861680000,1904.59000000,1904.60000000,1902.04000000,1903.46000000
1771861740000,1903.47000000,1903.71000000,1902.69000000,1902.82000000
1771861800000,1902.82000000,1903.59000000,1900.85000000,1901.49000000
1771861860000,1901.49000000,1901.49000000,1897.31000000,1899.12000000
1771861920000,1899.12000000,1899.12000000,1892.68000000,1894.55000000
1771861980000,1894.54000000,1898.38000000,1894.54000000,1898.38000000
1771862040000,1898.37000000,1898.37000000,1896.74000000,1897.02000000
1771862100000,1897.02000000,1898.40000000,1897.01000000,1897.41000000
1771862160000,1897.41000000,1898.19000000,1896.59000000,1897.55000000
1771862220000,1897.54000000,1897.54000000,1895.41000000,1897.13000000
1771862280000,1897.13000000,1897.67000000,1896.09000000,1897.38000000
1771862340000,1897.37000000,1897.37000000,1895.65000000,1895.65000000
1771862400000,1895.65000000,1896.39000000,1894.52000000,1895.97000000
1771862460000,1895.97000000,1895.97000000,1892.42000000,1893.54000000
1771862520000,1893.54000000,1896.08000000,1892.25000000,1892.25000000
1771862580000,1892.26000000,1892.34000000,1888.54000000,1888.78000000
1771862640000,1888.77000000,1888.77000000,1884.88000000,1887.01000000
1771862700000,1887.01000000,1887.33000000,1885.33000000,1887.09000000
1771862760000,1887.09000000,1887.09000000,1881.91000000,1882.21000000
1771862820000,1882.22000000,1883.91000000,1881.20000000,1883.79000000
1771862880000,1883.79000000,1888.02000000,1883.42000000,1885.50000000
1771862940000,1885.49000000,1886.88000000,1884.53000000,1885.85000000
1771863000000,1885.85000000,1892.07000000,1885.85000000,1891.42000000
1771863060000,1891.43000000,1891.43000000,1889.62000000,1889.65000000
1771863120000,1889.64000000,1889.64000000,1887.77000000,1887.82000000
1771863180000,1887.83000000,1887.83000000,1881.68000000,1884.27000000
1771863240000,1884.27000000,1884.76000000,1882.37000000,1884.57000000
1771863300000,1884.56000000,1888.99000000,1884.35000000,1885.52000000
1771863360000,1885.51000000,1888.26000000,1885.51000000,1888.26000000
1771863420000,1888.27000000,1889.00000000,1887.02000000,1888.85000000
1771863480000,1888.85000000,1892.87000000,1888.85000000,1890.04000000
1771863540000,1890.05000000,1894.93000000,1890.05000000,1892.27000000
1771863600000,1892.26000000,1894.17000000,1892.14000000,1892.54000000
1771863660000,1892.53000000,1894.21000000,1891.52000000,1894.18000000
1771863720000,1894.17000000,1894.17000000,1890.12000000,1890.54000000
1771863780000,1890.55000000,1891.86000000,1890.18000000,1891.86000000
1771863840000,1891.85000000,1891.85000000,1890.24000000,1890.25000000
1771863900000,1890.24000000,1892.24000000,1890.24000000,1891.50000000
1771863960000,1891.50000000,1891.68000000,1890.27000000,1890.57000000
1771864020000,1890.57000000,1894.00000000,1890.24000000,1893.75000000
1771864080000,1893.76000000,1897.42000000,1893.03000000,1896.83000000
1771864140000,1896.84000000,1897.54000000,1895.62000000,1897.43000000
1771864200000,1897.43000000,1900.18000000,1896.97000000,1899.95000000
1771864260000,1899.94000000,1899.94000000,1895.01000000,1895.96000000
1771864320000,1895.97000000,1896.87000000,1895.81000000,1895.98000000
1771864380000,1895.99000000,1896.88000000,1893.16000000,1893.95000000
1771864440000,1893.96000000,1893.96000000,1890.06000000,1890.65000000
1771864500000,1890.64000000,1891.38000000,1888.76000000,1891.25000000
1771864560000,1891.25000000,1893.66000000,1889.61000000,1893.45000000
1771864620000,1893.44000000,1895.91000000,1893.26000000,1895.63000000
1771864680000,1895.62000000,1895.62000000,1892.24000000,1892.66000000
1771864740000,1892.66000000,1893.10000000,1891.57000000,1892.41000000
1771864800000,1892.41000000,1893.55000000,1891.54000000,1891.55000000
1771864860000,1891.55000000,1894.07000000,1891.55000000,1893.37000000
1771864920000,1893.36000000,1894.42000000,1892.50000000,1892.94000000
1771864980000,1892.94000000,1894.15000000,1891.84000000,1894.01000000
1771865040000,1894.02000000,1894.02000000,1891.38000000,1891.50000000
1771865100000,1891.50000000,1892.23000000,1889.23000000,1890.20000000
1771865160000,1890.19000000,1890.49000000,1887.17000000,1888.51000000
1771865220000,1888.51000000,1888.51000000,1885.42000000,1887.56000000
1771865280000,1887.55000000,1887.55000000,1884.55000000,1885.61000000
1771865340000,1885.60000000,1888.11000000,1885.60000000,1887.52000000
1771865400000,1887.51000000,1888.64000000,1886.48000000,1887.27000000
1771865460000,1887.26000000,1888.59000000,1885.24000000,1886.84000000
1771865520000,1886.83000000,1887.36000000,1885.42000000,1886.64000000
1771865580000,1886.65000000,1887.63000000,1886.33000000,1887.29000000
1771865640000,1887.29000000,1887.83000000,1886.04000000,1886.80000000
1771865700000,1886.80000000,1886.85000000,1886.06000000,1886.77000000
1771865760000,1886.76000000,1886.94000000,1885.71000000,1886.86000000
1771865820000,1886.87000000,1887.02000000,1884.40000000,1884.40000000
1771865880000,1884.40000000,1885.07000000,1883.21000000,1883.88000000
1771865940000,1883.89000000,1884.84000000,1883.51000000,1884.72000000
1771866000000,1884.73000000,1886.61000000,1884.73000000,1886.35000000
1771866060000,1886.36000000,1887.45000000,1886.17000000,1886.28000000
1771866120000,1886.29000000,1886.47000000,1884.03000000,1884.58000000
1771866180000,1884.58000000,1884.58000000,1882.45000000,1883.56000000
1771866240000,1883.55000000,1886.19000000,1882.30000000,1886.19000000
1771866300000,1886.20000000,1887.45000000,1885.93000000,1886.05000000
1771866360000,1886.05000000,1888.17000000,1884.84000000,1887.20000000
1771866420000,1887.20000000,1887.28000000,1885.34000000,1885.86000000
1771866480000,1885.85000000,1886.39000000,1885.26000000,1885.36000000
1771866540000,1885.36000000,1885.58000000,1883.23000000,1883.79000000
1771866600000,1883.78000000,1884.16000000,1882.53000000,1883.77000000
1771866660000,1883.77000000,1884.82000000,1882.02000000,1883.13000000
1771866720000,1883.13000000,1885.40000000,1883.08000000,1884.19000000
1771866780000,1884.19000000,1884.19000000,1881.72000000,1881.72000000
1771866840000,1881.71000000,1881.83000000,1867.00000000,1869.41000000
1771866900000,1869.41000000,1874.99000000,1868.24000000,1873.29000000
1771866960000,1873.30000000,1875.02000000,1872.81000000,1873.42000000
1771867020000,1873.41000000,1874.70000000,1869.82000000,1872.98000000
1771867080000,1872.99000000,1873.58000000,1870.94000000,1873.27000000
1771867140000,1873.28000000,1873.28000000,1861.53000000,1861.69000000
1771867200000,1861.68000000,1864.73000000,1861.33000000,1863.02000000
1771867260000,1863.02000000,1863.74000000,1858.66000000,1863.74000000
1771867320000,1863.75000000,1865.49000000,1862.55000000,1864.67000000
1771867380000,1864.66000000,1867.67000000,1862.92000000,1866.28000000
1771867440000,1866.27000000,1866.64000000,1863.39000000,1865.16000000
1771867500000,1865.16000000,1865.33000000,1863.98000000,1864.61000000
1771867560000,1864.61000000,1865.21000000,1860.93000000,1864.73000000
1771867620000,1864.74000000,1867.82000000,1864.74000000,1865.12000000
1771867680000,1865.12000000,1865.12000000,1860.22000000,1861.53000000
1771867740000,1861.53000000,1861.56000000,1857.19000000,1857.21000000
1771867800000,1857.20000000,1857.82000000,1856.20000000,1857.43000000
1771867860000,1857.44000000,1857.86000000,1856.22000000,1857.55000000
1771867920000,1857.55000000,1857.97000000,1855.00000000,1856.50000000
1771867980000,1856.51000000,1858.90000000,1856.12000000,1856.85000000
1771868040000,1856.86000000,1857.46000000,1851.65000000,1854.03000000
1771868100000,1854.02000000,1855.14000000,1851.56000000,1851.71000000
1771868160000,1851.70000000,1851.70000000,1847.25000000,1847.84000000
1771868220000,1847.85000000,1847.85000000,1842.37000000,1846.18000000
1771868280000,1846.18000000,1848.36000000,1845.30000000,1847.01000000
1771868340000,1847.02000000,1847.89000000,1845.50000000,1845.91000000
1771868400000,1845.93000000,1849.62000000,1844.00000000,1848.09000000
1771868460000,1848.09000000,1853.99000000,1847.93000000,1852.42000000
1771868520000,1852.41000000,1852.42000000,1849.05000000,1850.14000000
1771868580000,1850.13000000,1851.55000000,1849.26000000,1849.56000000
